0,http://ewave.no-ip.com/ECallws/CinemaData.asmx?WSDL,no-ip.com,8.23.224.110,United States,135782510,AS3356 Level 3 Communications,38,-97
309,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretDNARefFASTA2SWISS,biordf.net,96.49.108.226,Canada,1613851874,AS6327 Shaw Communications Inc.,49.25,-123.1333
297,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretPROTEINFASTA2SWISS,biordf.net,96.49.108.226,Canada,1613851874,AS6327 Shaw Communications Inc.,49.25,-123.1333
156,http://services.groupes.be/iMobilWebService/iMobilWS.asmx?WSDL,groupes.be,194.7.30.151,Belgium,3255246487,AS702 Verizon Business EMEA - Commercial IP service provider in Europe,50.8333,4.3333
69,http://staff.it.uts.edu.au/~chw/hellorpc.php?wsdl,uts.edu.au,54.251.117.70,Australia,922449222,null,1.3667,103.8
287,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretDNARefSWISS2FASTA,biordf.net,96.49.108.226,Canada,1613851874,AS6327 Shaw Communications Inc.,49.25,-123.1333
44,http://api.godo.com.au/soap/v1_00/productManager.cfc?WSDL,godo.com.au,202.125.108.41,Australia,3397217321,AS55481 Wotif.com Holdings Limited,-27,133
155,http://clacpercussie.be/controls/flashnews/content.asmx?wsdl,clacpercussie.be,46.30.211.60,Belgium,773772092,null,55.6667,12.5833
267,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretDNAGCG82FASTA,biordf.net,96.49.108.226,Canada,1613851874,AS6327 Shaw Communications Inc.,49.25,-123.1333
270,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretPROTEINRefFASTA2PHYLIP,biordf.net,96.49.108.226,Canada,1613851874,AS6327 Shaw Communications Inc.,49.25,-123.1333
282,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretPROTEINRefJACKNIFER2FASTA,biordf.net,96.49.108.226,Canada,1613851874,AS6327 Shaw Communications Inc.,49.25,-123.1333
164,http://www.vladars.net/sr-SP-Cyrl/_vti_bin/People.asmx?wsdl,vladars.net,80.87.254.4,Bosnia and Herzegovina,1347943940,AS16145 LANACO INECCO ISP,44.7784,17.1939
236,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretDNAFASTA2IG,biordf.net,96.49.108.226,Canada,1613851874,AS6327 Shaw Communications Inc.,49.25,-123.1333
215,http://hs19.iccs.bas.bg/work/soap/books.php?wsdl,bas.bg,null,Bulgaria,0,null,null,null
288,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretDNAFASTA2GCG,biordf.net,96.49.108.226,Canada,1613851874,AS6327 Shaw Communications Inc.,49.25,-123.1333
217,http://www.postbank.bg/TransformationService.asmx?WSDL,postbank.bg,195.242.126.251,Bulgaria,3287449339,AS41799 Eurobank EFG Bulgaria AD,42.6833,23.3167
54,http://soap.bondwireless.com/soap/services/SmsGateway?wsdl,bondwireless.com,203.56.34.99,Australia,3409453667,AS9822 Amnet IT Services Pty Ltd,-34.9286,138.6007
166,http://www.blberza.com/services/blse/ticker.asmx?WSDL,blberza.com,null,Bosnia and Herzegovina,0,null,null,null
330,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretDNARefTREECON2FASTA,biordf.net,96.49.108.226,Canada,1613851874,AS6327 Shaw Communications Inc.,49.25,-123.1333
145,http://www.ibanbic.be/Cijfers.asmx?WSDL,ibanbic.be,96.45.82.4,Belgium,1613582852,null,38.9311,-77.3489
168,http://www.innovatti.com.br/_vti_bin/AreaService.asmx?wsdl,innovatti.com.br,200.212.125.99,Brazil,3369368931,AS4230 Embratel,-10,-55
329,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretPROTEINMEGA2FASTA,biordf.net,96.49.108.226,Canada,1613851874,AS6327 Shaw Communications Inc.,49.25,-123.1333
120,http://www.calstatela.edu/faculty/jmiller6/cs454-winter2003/notes/sort.wsdl,mywebsite.com,216.250.121.107,Bahamas,3640293739,"AS7296 Alchemy Communications, Inc.",40.0548,-75.4083
79,http://motormouth.net.au/Services/FuelPricingServices.asmx?wsdl,motormouth.net.au,203.39.223.150,Australia,3408387990,AS1221 Telstra Pty Ltd,-27.4833,152.9833
